city,lat,temp,humidity,cloudiness,windspeed
Rikitea,-23.12,295.148,71,100,10.39
Seoul,37.57,292.52,106,90,1.0
Neiafu,-18.65,298.15,94,40,6.52
Hermanus,-34.42,284.82,77,100,4.53
Longyearbyen,78.22,280.15,74,75,2.1
Port Alfred,-33.59,289.82,92,34,0.89
Ponta do Sol,-20.63,292.148,68,85,0.84
Albany,42.65,294.22,88,90,3.1
Guerrero Negro,27.97,290.248,82,13,5.39
Punta Arenas,-53.16,280.04,81,75,5.1
Frantiskovy Lazne,50.12,293.41,56,0,3.1
Jamestown,-33.21,277.648,87,0,1.56
Qaanaaq,77.48,274.948,93,100,1.83
Butaritari,3.07,301.848,78,75,6.2
Busselton,-33.64,277.01,71,100,3.57
Cap-aux-Meules,47.38,288.15,72,20,7.2
Bluff,-23.58,283.348,69,0,2.62
Mar del Plata,-46.43,281.148,50,99,7.11
Lagoa,37.14,292.18,93,40,3.6
Edd,13.93,303.548,53,0,3.46
Rocha,-34.48,285.748,89,100,4.89
Balabac,7.99,300.348,83,93,2.67
Kapaa,22.08,300.78,74,75,8.7
Grindavik,63.84,282.07,61,40,12.3
Bonavista,48.65,282.59,86,100,5.81
Yeppoon,-23.13,280.15,87,0,1.34
Hobart,-42.88,279.39,96,75,7.7
Mariental,52.28,297.13,53,0,1.5
Nikolskoye,59.7,289.22,63,0,3.0
Hilo,19.71,298.03,78,90,6.7
Bredasdorp,-34.53,285.4,58,100,1.0
Ushuaia,-54.81,278.52,87,90,5.1
Klaksvik,62.23,283.15,81,41,3.6
Taoudenni,22.68,310.748,7,0,4.11
Bethel,60.79,287.16,87,75,2.1
Avarua,-21.21,298.15,88,0,4.1
Chokurdakh,70.62,282.648,69,33,4.73
Auki,12.18,300.448,57,34,2.91
East London,-33.02,287.148,81,1,3.78
Rio Cuarto,-33.13,289.15,25,0,4.6
Hithadhoo,-0.6,302.048,68,100,2.87
Dhamrai,23.92,303.15,79,40,1.5
Puerto Ayora,-0.74,302.15,58,40,3.6
Palaikastron,35.2,297.348,79,16,7.12
Kavieng,-2.57,301.548,74,100,5.7
Pritzwalk,53.15,298.02,54,100,0.89
Khatanga,71.98,282.548,76,100,8.52
Garissa,-0.46,297.948,66,0,7.96
Requena,39.49,295.59,69,0,4.1
Arona,45.76,298.54,47,0,2.6
Vaini,15.34,298.548,88,57,1.46
Zhangjiakou,40.77,288.448,65,100,1.83
Saint-Philippe,45.36,298.73,32,1,2.1
Bucarasica,8.04,306.15,41,40,5.1
Yar-Sale,66.83,276.648,58,44,3.53
Atar,20.52,311.148,11,0,5.73
Xai-Xai,-25.04,289.848,92,0,1.69
Farafangana,-22.82,291.248,84,67,0.93
Lebu,8.96,287.048,91,40,0.73
Georgetown,6.8,302.15,74,75,2.1
Arraial do Cabo,-22.97,297.12,65,20,4.6
Pisco,-13.71,292.94,30,90,3.6
Kavaratti,10.57,302.448,75,100,9.5
Airai,-8.93,292.848,65,100,2.26
North Bend,43.41,292.5,68,1,11.3
Westport,53.8,287.08,67,40,5.1
Shiraoi,42.56,284.82,93,40,1.0
Laguna,27.52,309.15,23,40,2.6
Meiktila,20.88,298.748,81,99,6.87
Atuona,-9.8,300.548,77,33,9.23
Bayir,37.27,297.08,78,40,2.6
Jalu,29.03,309.348,15,47,11.14
Souillac,45.6,298.85,48,0,1.5
Victoria,5.28,299.7,88,75,2.67
Namatanai,-3.66,298.848,88,100,6.71
Mahebourg,-20.41,295.27,60,40,4.1
Kizukuri,40.81,285.11,90,100,0.89
Hofn,64.25,272.848,85,100,7.72
Cape Town,-33.93,288.8,58,0,4.6
Torbay,47.66,285.75,71,75,7.2
Finnsnes,69.23,282.51,87,75,4.6
Komsomolskiy,67.55,272.648,97,100,5.39
Upernavik,72.79,276.148,84,93,1.01
Yablonovo,50.85,295.15,73,0,2.0
Mataura,-46.19,275.048,82,99,2.58
Lincoln,53.23,288.23,93,90,2.1
Yellowknife,62.45,292.1,63,75,8.2
Yibin,28.77,294.348,95,100,0.82
Portree,57.41,283.71,91,100,6.26
Vila Franca do Campo,37.72,292.15,72,40,2.6
Barabinsk,55.35,281.048,92,28,5.02
Touros,-5.2,301.15,78,40,5.1
Barrow,-38.31,283.348,88,99,3.45
Carnarvon,-30.97,285.448,35,100,3.32
Severo-Kurilsk,50.68,279.648,84,100,4.83
Pitimbu,-7.47,297.15,100,75,1.5
Beloha,-25.17,289.648,76,0,1.85
Saint George,39.45,296.69,69,75,1.88
Bethanien,-26.5,286.348,36,98,3.31
Sinnamary,5.38,300.948,78,100,5.17
Tsumeb,-19.25,286.348,38,0,3.79
Cayenne,4.94,302.15,79,18,5.1
Srednekolymsk,67.46,293.248,44,95,2.94
Betare Oya,5.6,294.048,89,31,1.02
Dikson,73.51,275.748,90,100,6.39
Loncoche,-39.37,285.65,93,75,1.5
Lerwick,60.15,284.15,87,0,5.7
Tuktoyaktuk,69.44,280.15,70,40,3.1
Vyazemskiy,47.53,286.748,89,32,3.95
Siirt,37.93,296.448,34,0,1.29
Sao Filipe,14.9,296.748,83,0,13.48
Kodiak,39.95,299.45,57,1,3.1
Muros,42.77,290.14,87,75,6.2
Goderich,43.74,291.56,68,4,3.13
Esperance,10.24,298.84,88,20,5.1
Madridejos,39.47,300.15,15,0,4.6
Vao,59.1,285.948,81,40,3.84
Touba,14.86,302.748,40,64,4.54
Manggar,-2.88,297.848,95,100,1.88
Saint Anthony,43.97,296.31,36,1,5.1
Simoes,-7.6,295.648,87,71,0.66
Winnemucca,40.97,300.02,20,1,3.1
Comodoro Rivadavia,-45.87,286.15,54,0,5.7
Komsomolets,52.77,289.848,92,0,2.44
Norman Wells,65.28,290.15,59,75,3.6
Manicore,-5.81,306.15,55,20,1.5
Saldanha,41.42,288.648,82,43,2.51
Masallatah,32.62,297.748,60,0,3.47
Rochelle,41.92,298.65,64,40,0.72
Ribeira Grande,38.52,292.15,77,40,3.6
Saskylakh,71.97,290.948,56,51,7.9
Kruisfontein,-34.0,290.248,36,68,4.5
Vanavara,60.35,282.048,77,0,1.02
Goreloye,52.92,289.648,95,0,2.06
Fethiye,36.62,296.01,88,40,2.6
Mount Gambier,-37.83,276.15,93,40,1.5
Napasar,27.97,304.348,53,16,2.77
Tunceli,39.11,290.63,55,40,3.1
Okhotsk,59.36,284.448,89,100,2.39
Port Blair,11.67,301.748,79,100,11.35
New Norfolk,-42.78,279.38,96,40,5.1
Kaitangata,-46.28,276.848,78,100,1.73
Komatipoort,-25.43,285.24,47,0,0.5
Simbahan,6.3,302.048,69,100,1.09
Portland,45.52,293.73,49,75,3.1
Los Llanos de Aridane,28.66,293.39,78,75,0.5
Golden,51.3,296.15,35,75,2.5
Kidal,18.44,309.648,15,23,4.9
Barbacoas,1.67,300.848,83,54,2.86
Opuwo,-18.06,288.548,38,0,3.42
Jeremoabo,-10.08,294.248,88,4,4.94
Issoire,45.54,297.21,32,0,5.1
Peniche,39.36,292.07,93,75,6.2
Barnstaple,51.08,287.99,100,20,1.0
Castro,-42.48,282.15,100,75,3.1
Provideniya,64.42,286.15,66,0,5.0
Pecanha,-18.55,290.648,91,37,1.91
Beaverlodge,55.21,290.15,39,75,10.3
Magdagachi,53.45,283.648,51,81,3.69
Hambantota,6.12,301.548,80,100,10.22
Lompoc,34.64,292.82,64,1,5.1
Cherskiy,68.75,288.648,43,56,4.89
Nuuk,64.17,284.99,58,75,7.2
Aksarka,66.56,275.448,90,64,5.97
College,64.86,292.42,52,75,0.92
Adrar,27.87,313.15,6,0,3.6
Nanortalik,60.14,275.148,87,99,1.84
Skjervoy,70.03,281.15,81,75,2.6
Merauke,-8.49,298.248,82,77,8.79
Ariquemes,-9.91,302.248,55,51,1.31
Boa Vista,2.82,303.748,60,42,2.56
Bisira,8.52,301.048,74,93,1.24
Yulara,-25.24,278.15,75,0,3.1
Kununurra,-15.77,290.15,55,23,1.0
Bambous Virieux,-20.34,295.27,60,40,4.1
Sitka,37.17,302.948,39,17,3.45
Lorengau,-2.02,299.448,85,100,3.65
Dubbo,-32.25,273.15,94,0,2.6
Khoy,38.55,285.648,62,74,1.46
Clyde River,70.47,289.15,44,75,6.7
Gat,14.69,300.15,65,48,3.1
Vestmannaeyjar,63.44,282.948,63,32,9.55
Zhangye,38.94,289.548,43,49,1.32
Luanda,-8.83,295.15,94,40,2.1
Coquimbo,-29.95,290.15,42,0,3.6
Pacifica,37.61,294.05,87,90,3.6
Hamilton,43.26,297.35,46,40,1.0
Delijan,33.99,300.348,13,20,4.39
Wagar,31.44,298.26,91,100,0.45
Kahului,20.89,299.66,62,40,8.2
Broome,52.47,288.42,93,20,1.5
Shelburne,44.08,297.9,47,75,3.1
Salalah,17.01,303.15,84,20,2.6
Sabya,16.19,304.848,67,1,1.64
Xingyi,24.19,289.648,98,99,1.66
Cabo San Lucas,22.89,301.73,58,5,4.1
Beringovskiy,63.05,294.548,31,2,0.71
Adre,13.47,301.848,38,68,0.89
Christchurch,-43.53,273.86,100,0,1.5
Kisiwani,-4.13,292.348,87,51,3.64
Xining,36.62,277.248,81,32,1.35
Nanakuli,21.39,300.99,69,20,5.1
Aklavik,68.22,286.75,47,20,1.5
Potsdam,52.4,297.09,36,0,2.1
Sapulpa,36.0,302.89,48,1,2.1
Tuy Hoa,13.08,296.548,89,43,1.79
Chuy,-33.69,289.448,90,100,5.82
Panjab,34.38,279.648,45,0,2.43
Maxixe,-23.86,292.15,77,20,2.1
Chicama,-7.84,291.15,88,90,4.1
Porangatu,-13.44,299.048,49,0,0.61
Tiksi,71.64,283.348,52,100,5.03
Ukiah,39.15,304.04,27,1,1.5
Xinqing,48.28,284.548,95,100,2.56
Poronaysk,49.22,282.348,87,100,0.63
Nogliki,51.8,280.048,76,100,6.39
Kurilsk,45.23,281.848,86,5,7.06
Kabinda,-6.14,294.948,41,0,1.89
Sao Joao da Barra,-21.64,298.15,65,0,4.1
Alofi,-19.06,296.15,100,22,2.1
San Pedro,-33.68,287.59,58,0,2.68
Isangel,-19.55,296.948,79,59,3.78
Mwinilunga,-11.73,285.448,61,0,2.3
Stepnogorsk,52.35,283.548,91,66,1.21
Hit,33.64,303.648,23,0,3.22
Faanui,-16.48,300.048,81,56,9.34
Nome,30.04,305.93,55,75,4.6
Canalete,8.79,308.15,59,75,4.78
Taltal,-25.41,291.448,40,0,1.54
Saint Pete Beach,27.73,304.38,66,75,5.7
Eyl,7.98,301.048,56,23,10.31
Turukhansk,65.8,281.748,82,33,4.0
Lata,30.78,272.648,69,33,1.07
Mana,43.52,289.63,100,40,1.0
Malartic,48.14,294.15,37,75,3.6
Tilichiki,60.47,281.648,84,100,0.83
Talnakh,69.49,278.15,93,0,7.0
Boca do Acre,-8.76,305.548,46,2,0.55
Sabzevar,36.21,296.848,21,0,4.05
Viedma,-40.81,285.148,91,100,14.56
Jeremie,18.65,302.048,71,72,1.67
Cockburn Town,21.46,300.748,80,56,9.36
Sorong,-0.86,297.448,91,42,3.98
Santa Maria,-29.69,301.15,51,0,3.6
Mayo,63.59,292.15,48,75,2.6
Galle,29.74,306.18,59,1,4.1
Veraval,49.65,295.37,69,0,3.1
Suda,59.15,290.15,88,20,1.0
Whitehorse,60.72,286.27,58,90,1.0
Sur,22.57,306.148,44,86,6.81
Ulundi,-28.29,280.748,60,0,0.69
Punto Fijo,11.69,300.648,77,80,16.6
Lavrentiya,65.58,287.148,35,0,2.43
Abu Dhabi,24.47,306.88,59,5,4.6
High Level,58.52,295.15,53,75,7.7
Paamiut,61.99,279.248,77,100,1.02
Luderitz,-26.65,297.15,23,100,2.1
Harper,30.3,305.33,52,1,4.6
Alta Floresta,-9.87,306.15,36,20,2.6
Cidreira,-30.17,294.948,71,33,0.96
Ayolas,-27.39,288.848,78,100,4.21
Lokosovo,61.13,282.448,82,86,4.32
Brae,60.4,284.15,87,0,6.7
Antalaha,-14.9,290.548,86,59,1.7
Thompson,55.74,298.15,23,20,1.5
Chippewa Falls,44.94,295.32,56,90,3.1
Yarmouth,50.71,288.95,93,20,1.5
Marawi,8.0,298.15,88,38,2.24
Spantov,44.12,297.89,69,20,2.1
Kulhudhuffushi,6.62,302.348,80,63,7.32
Port Elizabeth,39.31,301.64,74,75,3.1
Tasiilaq,65.61,279.15,66,0,5.1
Bagn,60.82,283.71,75,0,4.47
Podor,16.65,303.648,29,0,8.71
Ojinaga,29.56,307.15,28,1,5.1
Sao Jose da Coroa Grande,-8.9,295.248,90,0,1.81
Cizer,47.07,291.448,82,0,1.94
Hohhot,40.81,292.15,52,0,3.0
Dover,39.16,301.21,74,74,4.6
Pedro Juan Caballero,-22.55,301.15,37,0,2.1
Alice Springs,-23.7,277.15,74,0,2.6
Tezu,27.93,296.248,88,44,1.5
Syracuse,43.05,297.67,69,20,2.6
Sao Felix do Xingu,-6.64,299.648,70,27,1.45
Fairbanks,64.84,292.86,52,75,0.92
Winchester,51.06,288.81,82,20,2.1
Fortuna,38.18,295.12,73,0,2.6
Sutysky,49.05,294.82,80,75,2.25
Angoche,-16.23,293.048,90,0,2.2
San Quintin,17.54,297.448,88,76,1.46
Salym,60.06,277.748,90,21,2.51
Tecoanapa,16.99,305.15,62,75,3.1
Ancud,-41.87,282.15,100,75,3.1
San Lorenzo,13.43,309.15,47,20,1.0
Nouadhibou,20.93,297.15,60,3,7.7
Nadym,65.53,277.148,65,32,3.9
San Jose,15.79,298.248,86,100,1.91
Narsaq,60.91,288.15,44,75,5.7
Vila Velha,-3.71,301.2,70,20,5.7
Pacific Grove,36.62,296.94,64,1,5.7
Treinta y Tres,-33.23,286.648,90,100,5.94
Pontianak,-0.02,300.848,79,69,3.31
Hami,42.84,296.448,33,96,0.82
Calvinia,-31.47,290.148,33,100,5.24
Lubango,-14.92,290.948,56,0,1.44
Champerico,16.38,305.15,55,40,1.5
San Cristobal,-0.39,289.3,35,75,8.7
Dire,9.18,287.048,91,40,0.73
Pangody,65.85,277.148,85,82,2.54
Poum,41.28,287.148,83,52,0.08
Pevek,69.7,277.148,74,100,1.94
Yangcun,29.98,293.748,98,97,0.08
Todos Santos,23.45,302.1,45,5,6.2
Aljezur,37.31,292.17,85,0,1.34
Igatpuri,19.7,297.048,84,97,5.03
Wasilla,61.58,285.36,81,90,2.6
Maymyo,22.03,300.15,83,40,4.1
Devrek,41.22,297.248,83,0,5.5
Adolfo Lopez Mateos,26.8,310.01,33,99,1.34
Magistralnyy,56.17,280.348,89,1,0.4
Tamandare,-8.28,303.148,61,84,0.43
Vardo,39.62,300.02,61,75,4.1
Quatre Cocos,-20.21,295.26,60,40,4.1
Sovetskiy,56.76,286.948,90,82,1.7
Palafrugell,41.92,295.08,43,20,2.1
Tura,25.52,298.148,90,64,0.23
Palestine,31.76,304.46,52,1,1.5
Maceio,-9.67,299.15,74,75,3.6
Matamoros,25.87,306.19,53,75,4.1
Mackay,53.65,292.15,48,75,4.1
Henties Bay,-22.12,295.93,37,0,1.79
Sabirabad,40.01,300.15,42,40,6.2
San Luis,-33.3,286.048,44,0,3.92
Kimbe,-5.56,297.248,85,93,1.02
Najran,17.54,305.15,14,0,3.1
Calbuco,-41.77,284.15,81,90,2.6
San Antonio,-33.58,290.73,51,0,3.6
Batagay-Alyta,67.8,287.248,46,51,1.36
Shuyskoye,59.37,286.348,96,54,1.89
Vagay,57.94,278.648,81,13,2.3
Makokou,0.56,294.948,90,38,0.39
Katsuura,33.93,292.76,94,75,2.6
Hualmay,-11.1,290.948,83,30,4.56
Klyuchi,52.25,283.948,72,0,3.64
Sol-Iletsk,51.16,287.648,86,25,1.75
Mareeba,-16.99,290.52,82,40,3.6
Kanniyakumari,8.08,301.048,80,100,10.9
Kyren,51.68,279.148,77,0,3.24
Coihaique,-45.58,280.05,66,75,4.1
Bodden Town,19.28,304.71,66,20,8.2
Nishihara,35.74,292.74,82,40,3.1
Chapais,49.78,288.15,51,75,3.1
Carutapera,-1.2,299.348,83,82,3.03
Sorland,67.67,283.15,93,75,1.0
Pak Phanang,8.35,299.348,77,100,1.61
Arvika,59.65,290.57,93,97,4.1
Krivosheino,57.34,285.148,97,74,4.14
Taclobo,12.31,301.248,73,98,3.43
El Alto,-16.5,289.15,19,20,4.6
Greenville,34.85,299.35,69,40,2.6
Sikeston,36.88,301.22,58,40,2.81
Khandyga,62.65,290.748,50,62,3.5
Moyale,3.52,294.648,69,75,1.41
Gayny,60.3,283.348,83,83,2.32
Hoshcha,50.6,290.348,92,0,2.28
San Patricio,-26.98,289.448,77,88,3.57
Prince Rupert,54.32,284.15,93,90,2.1
Ostrovnoy,68.05,274.548,84,38,0.27
Valga,57.78,284.948,90,0,1.54
The Valley,18.22,302.77,66,40,7.2
Khazar,41.99,291.748,57,14,2.21
Victor Harbor,-35.55,278.22,87,0,2.6
Malinovoye Ozero,51.68,283.948,64,0,3.22
Povenets,62.85,284.948,89,0,1.19
Morwa,22.9,302.048,71,100,7.26
Petropavlovsk-Kamchatskiy,53.05,280.15,100,90,3.0
Crestview,30.76,297.35,83,40,2.1
Cabedelo,-6.97,297.15,100,75,1.5
Mirabad,28.27,295.348,16,0,4.71
Hirara,24.8,300.948,88,100,8.87
Nisia Floresta,-6.09,301.62,70,40,6.2
Kajaani,64.22,292.15,55,0,3.6
Tuatapere,-46.13,281.148,71,100,4.84
Seymchan,62.93,286.148,71,100,6.41
Iqaluit,63.75,283.15,71,20,2.1
Laukaa,62.42,292.15,48,0,3.6
Lormi,22.27,299.948,57,24,1.16
Paracuaro,20.14,299.15,47,20,2.1
Mahajanga,-15.72,298.15,53,20,3.1
Itarema,-2.92,297.648,87,17,2.94
Lasa,34.92,296.45,83,40,4.1
Solnechnyy,50.72,279.348,77,100,2.37
Preobrazheniye,42.9,285.448,96,16,1.69
Berlevag,70.86,278.15,75,20,5.1
Point Pedro,9.82,303.148,79,91,10.05
Lucapa,-8.42,291.148,38,0,1.49
Chapleau,47.85,291.15,52,75,1.5
Willowmore,-33.3,287.748,36,100,3.33
Palu,-0.9,296.848,84,79,1.53
Maragogi,-9.01,295.248,90,0,1.81
Mandalgovi,45.76,291.048,38,31,3.07
Deputatskiy,69.3,285.748,61,1,2.39
Houma,35.63,298.248,43,100,2.14
Lima,-12.06,290.15,88,90,2.6
Kaeo,-35.1,278.15,93,33,4.12
Awjilah,29.14,308.848,16,54,10.14
Denpasar,-8.65,295.87,88,20,2.6
Diamantino,-14.4,299.548,48,0,0.54
Tiznit,29.7,292.148,92,100,3.36
Kralendijk,12.15,304.15,66,40,11.3
Platanos,35.47,298.15,73,20,2.1
Itatinga,-23.1,291.248,76,60,1.38
San Juan de Flores,14.27,301.54,61,75,2.6
Banda Aceh,5.56,302.748,73,98,5.59
Kayes,14.44,312.748,22,77,1.48
Tevriz,57.51,280.148,97,11,2.86
Coffs Harbour,-30.3,283.78,93,90,5.7
Kaifeng,34.8,299.15,69,0,2.0
Codrington,-28.95,283.14,100,90,0.5
Chama,-11.22,289.148,60,1,1.93
Tevaitoa,-16.78,299.948,80,2,9.64
Son La,21.32,293.648,96,100,0.63
Amapa,15.09,308.15,50,40,3.1
Wakkanai,45.41,286.148,88,8,6.82
Tiarei,-17.53,298.9,65,75,6.7
Dunedin,-45.87,277.04,80,100,1.79
Zyryanka,65.73,288.848,73,100,5.15
Chara,39.42,296.67,69,75,1.88
Mnogovershinnyy,53.94,278.348,87,100,3.25
Gisborne,-38.66,278.71,86,46,7.17
Kailua,21.39,301.05,69,20,5.7
Sobolevo,54.43,286.948,79,0,2.02
North Vanlaiphai,23.13,294.248,99,58,0.91
Tongliao,43.61,292.448,74,0,3.49
Lishu,43.31,291.648,85,11,4.73
Aswan,24.09,309.15,15,0,3.6
Bronnoysund,65.46,286.03,76,18,2.6
Smirnykh,49.74,279.148,97,100,1.51
Yerofey Pavlovich,53.97,285.948,71,17,0.64
Chegdomyn,51.13,284.248,98,100,1.99
Palmer,-34.85,278.85,87,0,2.6
Bilma,18.69,309.048,9,0,4.27
Dangriga,16.97,305.56,70,40,4.1
Porto de Moz,-1.75,299.248,92,6,1.29
Haimen,31.87,295.38,94,99,1.62
Tazovskiy,67.47,277.448,84,100,2.11
Matadi,-5.83,293.748,83,0,0.48
Moose Factory,51.26,290.15,48,75,4.1
Port Lincoln,-34.72,284.948,64,99,1.29
Cornwall,45.02,299.23,38,90,2.1
Polovragi,45.17,284.948,90,61,1.76
Mildura,-34.18,274.98,93,0,2.6
Scarborough,54.28,289.08,67,100,1.5
Colares,38.8,291.62,93,75,5.7
Morondava,-20.3,296.748,72,0,7.95
Port Macquarie,-31.43,283.62,93,3,2.1
Pakokku,21.33,300.348,77,92,5.28
Serebryanyy Bor,56.8,284.648,73,0,1.67
Coahuayana,18.62,305.348,57,20,1.08
Atambua,-9.11,297.948,67,100,5.87
Oriximina,-1.77,303.148,64,26,3.09
Ilulissat,69.22,281.15,65,75,2.6
Alboraya,39.5,295.18,69,0,3.6
Russell,-33.01,288.15,28,0,1.5
Ambovombe,-25.18,294.948,74,0,1.5
Bubaque,11.28,300.248,79,36,5.19
Zhigansk,66.77,295.548,30,52,1.99
Savelugu,9.63,303.048,60,0,3.81
Wenzhou,28.02,300.93,99,100,2.68
Arman,59.7,283.448,87,100,3.13
Zemio,5.02,291.948,96,49,0.63
Pangkalanbuun,-2.68,296.348,99,100,0.56
Cochrane,-47.25,273.15,88,75,0.61
Contamana,-7.35,306.948,37,87,0.9
Okahandja,-21.98,288.15,40,0,3.6
Sirur,18.83,297.348,78,94,6.48
Krynychky,48.37,296.15,69,0,4.0
Cisarua,-6.67,298.15,83,20,2.1
Hasaki,35.73,290.23,100,20,1.5
Iwaki,37.05,289.51,98,100,0.73
Storforshei,66.4,288.15,58,40,2.1
Catuday,16.29,302.948,70,100,1.89
Bilibino,68.06,288.648,57,100,2.58
Dingle,11.0,297.648,84,100,1.65
Puerto Madryn,-42.77,284.15,93,75,5.1
Serafimovich,49.58,288.15,73,0,0.89
Parrita,9.52,300.72,58,40,6.2
Shanghai,31.23,296.04,100,90,3.0
Beysehir,37.68,288.148,83,78,2.26
Bellary,15.15,296.648,76,32,7.85
Berezovyy,51.67,276.548,94,100,1.41
Graaff-Reinet,-32.25,289.348,30,91,3.33
Sarkand,45.41,290.848,44,100,2.69
Zhuhai,40.71,292.15,52,0,3.0
Kaupanger,61.18,282.15,100,40,10.3
Riyadh,24.63,309.15,11,0,1.5
Launceston,-41.43,276.36,75,52,3.1
Haines Junction,60.75,286.348,37,100,2.49
Kieta,-6.22,298.648,81,100,3.17
Guymon,36.68,299.48,54,1,2.6
Keti Bandar,24.14,302.048,88,100,8.12
Oktyabrskiy,55.61,294.03,60,0,1.0
Kushiro,43.11,286.648,75,19,0.22
Avera,33.19,304.86,52,40,3.6
Whyalla,-33.04,277.15,100,90,3.1
Uruzgan,32.93,288.448,18,0,0.86
Syasstroy,60.14,286.148,75,0,8.32
Anamur,36.08,297.07,83,40,2.1
Riachao das Neves,-11.75,296.948,60,31,1.26
Aksu,52.04,281.15,93,0,2.0
Egvekinot,66.32,290.748,42,0,2.62
Sept-Iles,50.2,288.37,59,20,5.7
Oregon City,45.36,294.03,46,1,5.7
Faya,18.39,296.19,83,0,1.5
Praya,-8.71,293.15,100,20,0.5
Palmas,-10.18,300.648,56,37,1.68
Kirakira,-10.46,299.748,82,96,2.18
Peyima,8.69,295.748,98,93,1.32
Asuncion,-25.3,292.15,88,90,4.1
Karachi,24.87,304.15,74,40,4.1
Valparaiso,41.47,297.96,57,75,3.1
Mpanda,-6.34,290.348,68,0,1.03
Iracoubo,5.48,298.848,88,100,2.1
Natchez,31.56,303.66,58,40,1.5
Joao Camara,-5.54,301.15,78,40,5.1
Sai Buri,6.7,297.448,89,100,0.65
